Year,Round,Race,Circuit,Date,Driver,Constructor,Grid,Position,Status,Q1,Q2,Q3,Weather,Temp,Precip,Winner,ConstructorWinRate_AllTime,ConstructorWinRate_Recent,Q1_secs,Q2_secs,Q3_secs,BestQualiTime,DriverRecentTop3Rate
2010,3,Malaysian Grand Prix,Sepang International Circuit,04-04-2010,Adrian Sutil,Force India,4,5,Finished,01:49.5,01:47.1,01:50.9,Partially cloudy,28.2,0,0,0,,109.479,107.085,110.914,107.085,0
2010,4,Chinese Grand Prix,Shanghai International Circuit,18-04-2010,Adrian Sutil,Force India,10,11,Finished,01:36.7,01:35.7,01:36.0,"Rain, Partially cloudy",16.8,1,0,0,,96.671,95.665,95.963,95.665,0
2010,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,09-05-2010,Adrian Sutil,Force India,11,7,Finished,01:22.6,01:22.0,99:99.999,"Rain, Partially cloudy",15.2,1.129,0,0,,82.628,81.985,6039.999,81.985,0
2010,6,Monaco Grand Prix,Circuit de Monaco,16-05-2010,Adrian Sutil,Force India,12,8,Finished,01:15.4,01:15.3,99:99.999,Partially cloudy,17,0,0,0,,75.445,75.318,6039.999,75.318,0
2010,7,Turkish Grand Prix,Istanbul Park,30-05-2010,Adrian Sutil,Force India,11,9,Finished,01:28.0,01:27.5,99:99.999,Partially cloudy,22.8,0,0,0,,87.951,87.525,6039.999,87.525,0
2010,8,Canadian Grand Prix,Circuit Gilles Villeneuve,13-06-2010,Adrian Sutil,Force India,9,10,+1 Lap,01:16.5,01:16.3,01:15.9,Partially cloudy,20.5,0,0,0,,76.495,76.295,75.881,75.881,0
2010,9,European Grand Prix,Valencia Street Circuit,27-06-2010,Adrian Sutil,Force India,13,6,Finished,01:39.0,01:38.9,99:99.999,Clear,23.9,0,0,0,,99.021,98.851,6039.999,98.851,0
2010,10,British Grand Prix,Silverstone Circuit,11-07-2010,Adrian Sutil,Force India,11,8,Finished,01:31.1,01:31.4,99:99.999,"Rain, Partially cloudy",19.3,0.026,0,0,,91.109,91.399,6039.999,91.109,0
2010,11,German Grand Prix,Hockenheimring,25-07-2010,Adrian Sutil,Force India,19,17,+2 Laps,01:16.2,01:15.5,99:99.999,Partially cloudy,14.4,0,0,0,,76.22,75.467,6039.999,75.467,0
2010,12,Hungarian Grand Prix,Hungaroring,01-08-2010,Adrian Sutil,Force India,13,23,Collision,01:22.1,01:21.5,99:99.999,Clear,23.3,0,0,0,,82.08,81.517,6039.999,81.517,0
2010,13,Belgian Grand Prix,Circuit de Spa-Francorchamps,29-08-2010,Adrian Sutil,Force India,8,5,Finished,01:58.7,01:47.3,01:46.7,"Rain, Partially cloudy",10.5,2.881,0,0,,118.73,107.292,106.659,106.659,0
2010,14,Italian Grand Prix,Autodromo Nazionale di Monza,12-09-2010,Adrian Sutil,Force India,11,16,+1 Lap,01:23.5,01:23.2,99:99.999,Partially cloudy,19.1,0,0,0,,83.493,83.199,6039.999,83.199,0
2010,15,Singapore Grand Prix,Marina Bay Street Circuit,26-09-2010,Adrian Sutil,Force India,15,9,Finished,01:48.5,01:48.9,99:99.999,Partially cloudy,28.7,0,0,0,,108.496,108.899,6039.999,108.496,0
2010,16,Japanese Grand Prix,Suzuka Circuit,10-10-2010,Adrian Sutil,Force India,15,18,Oil leak,01:33.2,01:32.7,99:99.999,"Rain, Partially cloudy",21.6,3.205,0,0,,93.186,92.659,6039.999,92.659,0
2010,17,Korean Grand Prix,Korean International Circuit,24-10-2010,Adrian Sutil,Force India,14,16,Collision,01:38.6,01:37.8,99:99.999,"Rain, Overcast",17.4,16.346,0,0,,98.572,97.783,6039.999,97.783,0
2010,18,Brazilian Grand Prix,Autódromo José Carlos Pace,07-11-2010,Adrian Sutil,Force India,22,12,+1 Lap,01:20.8,99:99.999,99:99.999,Partially cloudy,19.3,0,0,0,,80.83,6039.999,6039.999,80.83,0
2010,19,Abu Dhabi Grand Prix,Yas Marina Circuit,14-11-2010,Adrian Sutil,Force India,13,13,Finished,01:41.5,01:40.9,99:99.999,Clear,26.3,0,0,0,,101.473,100.914,6039.999,100.914,0
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,27-03-2011,Adrian Sutil,Force India,16,9,+1 Lap,01:26.2,01:31.4,99:99.999,"Rain, Partially cloudy",14.9,0.202,0,0,,86.245,91.407,6039.999,86.245,0
2011,2,Malaysian Grand Prix,Sepang International Circuit,10-04-2011,Adrian Sutil,Force India,17,11,+1 Lap,01:37.7,01:37.6,99:99.999,"Rain, Partially cloudy",26.8,0.469,0,0,,97.693,97.593,6039.999,97.593,0
2011,3,Chinese Grand Prix,Shanghai International Circuit,17-04-2011,Adrian Sutil,Force India,11,15,+1 Lap,01:36.1,01:35.9,99:99.999,Partially cloudy,14.7,0,0,0,,96.092,95.874,6039.999,95.874,0
2011,4,Turkish Grand Prix,Istanbul Park,08-05-2011,Adrian Sutil,Force India,12,13,+1 Lap,01:27.4,01:27.0,99:99.999,Partially cloudy,11.2,0,0,0,,87.392,87.027,6039.999,87.027,0
2011,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,22-05-2011,Adrian Sutil,Force India,17,13,+1 Lap,01:24.6,01:26.6,99:99.999,Partially cloudy,20.3,0,0,0,,84.648,86.571,6039.999,84.648,0
2011,6,Monaco Grand Prix,Circuit de Monaco,29-05-2011,Adrian Sutil,Force India,14,7,+1 Lap,01:16.6,01:16.1,99:99.999,Clear,19.9,0,0,0,,76.6,76.121,6039.999,76.121,0
2011,7,Canadian Grand Prix,Circuit Gilles Villeneuve,12-06-2011,Adrian Sutil,Force India,14,21,Accident,01:14.9,01:15.3,99:99.999,"Rain, Overcast",15.4,33.93,0,0,,74.931,75.287,6039.999,74.931,0
2011,8,European Grand Prix,Valencia Street Circuit,26-06-2011,Adrian Sutil,Force India,10,9,+1 Lap,01:39.3,01:39.0,99:99.999,Clear,25,0,0,0,,99.329,99.034,6039.999,99.034,0
2011,9,British Grand Prix,Silverstone Circuit,10-07-2011,Adrian Sutil,Force India,11,11,Finished,01:34.5,01:32.6,99:99.999,"Rain, Partially cloudy",15.7,0.34,0,0,,94.454,92.617,6039.999,92.617,0
2011,10,German Grand Prix,Nürburgring,24-07-2011,Adrian Sutil,Force India,8,6,Finished,01:32.3,01:31.8,01:32.0,"Rain, Partially cloudy",10.5,5.607,0,0,,92.286,91.809,92.01,91.809,0
2011,11,Hungarian Grand Prix,Hungaroring,31-07-2011,Adrian Sutil,Force India,8,14,+2 Laps,01:22.2,01:22.0,01:21.4,"Rain, Partially cloudy",16.3,0.634,0,0,,82.237,82,81.445,81.445,0
2011,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,28-08-2011,Adrian Sutil,Force India,15,7,Finished,02:06.0,02:07.8,99:99.999,"Rain, Partially cloudy",11.6,0.186,0,0,,126,127.777,6039.999,126,0
2011,13,Italian Grand Prix,Autodromo Nazionale di Monza,11-09-2011,Adrian Sutil,Force India,12,19,Hydraulics,01:24.6,01:24.2,99:99.999,Partially cloudy,23.6,0,0,0,,84.595,84.209,6039.999,84.209,0
2011,14,Singapore Grand Prix,Marina Bay Street Circuit,25-09-2011,Adrian Sutil,Force India,9,8,+1 Lap,01:48.0,01:47.1,99:99.999,Partially cloudy,29.3,0,0,0,,107.952,107.093,6039.999,107.093,0
2011,15,Japanese Grand Prix,Suzuka Circuit,09-10-2011,Adrian Sutil,Force India,11,11,Finished,01:32.8,01:32.5,99:99.999,Partially cloudy,17.5,0,0,0,,92.761,92.463,6039.999,92.463,0
2011,16,Korean Grand Prix,Korean International Circuit,16-10-2011,Adrian Sutil,Force India,10,11,Finished,01:38.8,01:38.2,99:99.999,Partially cloudy,17.1,0,0,0,,98.789,98.219,6039.999,98.219,0
2011,17,Indian Grand Prix,Buddh International Circuit,30-10-2011,Adrian Sutil,Force India,8,9,+1 Lap,01:26.3,01:26.1,99:99.999,Clear,22.9,0,0,0,,86.271,86.14,6039.999,86.14,0
2011,18,Abu Dhabi Grand Prix,Yas Marina Circuit,13-11-2011,Adrian Sutil,Force India,9,8,Finished,01:40.6,01:40.2,01:40.8,Clear,22.6,0,0,0,,100.595,100.205,100.768,100.205,0
2011,19,Brazilian Grand Prix,Autódromo José Carlos Pace,27-11-2011,Adrian Sutil,Force India,8,6,+1 Lap,01:13.5,01:13.3,01:13.3,"Rain, Partially cloudy",21,0.5,0,0,,73.48,73.261,73.298,73.261,0
2013,1,Australian Grand Prix,Albert Park Grand Prix Circuit,17-03-2013,Adrian Sutil,Force India,12,7,Finished,01:47.3,01:38.1,99:99.999,"Rain, Partially cloudy",13.6,7.365,0,0,,107.33,98.134,6039.999,98.134,0
2013,2,Malaysian Grand Prix,Sepang International Circuit,24-03-2013,Adrian Sutil,Force India,8,20,Wheel nut,01:36.8,01:36.8,01:53.4,"Rain, Partially cloudy",28.6,0.149,0,0,,96.809,96.834,113.439,96.809,0
2013,3,Chinese Grand Prix,Shanghai International Circuit,14-04-2013,Adrian Sutil,Force India,13,21,Collision,01:37.3,01:36.4,99:99.999,Partially cloudy,19.2,0,0,0,,97.349,96.405,6039.999,96.405,0
2013,4,Bahrain Grand Prix,Bahrain International Circuit,21-04-2013,Adrian Sutil,Force India,6,13,Finished,01:34.0,01:33.4,01:33.2,Clear,27.6,0,0,0,,94.048,93.378,93.246,93.246,0
2013,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,12-05-2013,Adrian Sutil,Force India,13,13,+1 Lap,01:23.0,01:22.3,99:99.999,"Rain, Partially cloudy",16.2,0.581,0,0,,82.952,82.346,6039.999,82.346,0
2013,6,Monaco Grand Prix,Circuit de Monaco,26-05-2013,Adrian Sutil,Force India,8,5,Finished,01:25.1,01:17.3,01:15.4,Clear,14.4,0,0,0,,85.108,77.261,75.383,75.383,0
2013,7,Canadian Grand Prix,Circuit Gilles Villeneuve,09-06-2013,Adrian Sutil,Force India,8,10,+1 Lap,01:24.6,01:28.8,01:27.3,"Rain, Partially cloudy",18.4,0.027,0,0,,84.551,88.799,87.348,84.551,0
2013,8,British Grand Prix,Silverstone Circuit,30-06-2013,Adrian Sutil,Force India,6,7,Finished,01:32.0,01:31.1,01:30.9,Partially cloudy,16.9,0,0,0,,92.002,91.097,90.908,90.908,0
2013,9,German Grand Prix,Nürburgring,07-07-2013,Adrian Sutil,Force India,15,13,Finished,01:31.3,01:31.0,99:99.999,Clear,20.2,0,0,0,,91.32,91.01,6039.999,91.01,0
2013,10,Hungarian Grand Prix,Hungaroring,28-07-2013,Adrian Sutil,Force India,11,22,Hydraulics,01:21.5,01:20.6,99:99.999,Partially cloudy,28.8,0,0,0,,81.471,80.569,6039.999,80.569,0
2013,11,Belgian Grand Prix,Circuit de Spa-Francorchamps,25-08-2013,Adrian Sutil,Force India,12,9,Finished,02:02.7,01:49.1,99:99.999,"Rain, Partially cloudy",13.5,11.854,0,0,,122.749,109.103,6039.999,109.103,0
2013,12,Italian Grand Prix,Autodromo Nazionale di Monza,08-09-2013,Adrian Sutil,Force India,17,16,+1 Lap,01:25.0,01:24.9,99:99.999,"Rain, Partially cloudy",21.4,5.967,0,0,,85.03,84.932,6039.999,84.932,0
2013,13,Singapore Grand Prix,Marina Bay Street Circuit,22-09-2013,Adrian Sutil,Force India,15,10,Finished,01:46.0,01:45.2,99:99.999,Partially cloudy,29.7,0,0,0,,105.96,105.185,6039.999,105.185,0
2013,14,Korean Grand Prix,Korean International Circuit,06-10-2013,Adrian Sutil,Force India,14,20,Collision,01:39.0,01:38.4,99:99.999,"Rain, Partially cloudy",22.3,0.306,0,0,,98.988,98.431,6039.999,98.431,0
2013,15,Japanese Grand Prix,Suzuka Circuit,13-10-2013,Adrian Sutil,Force India,22,14,+1 Lap,01:32.9,99:99.999,99:99.999,Clear,19.1,0,0,0,,92.89,6039.999,6039.999,92.89,0
2013,16,Indian Grand Prix,Buddh International Circuit,27-10-2013,Adrian Sutil,Force India,13,9,Finished,01:26.2,01:25.7,99:99.999,Clear,22.9,0,0,0,,86.164,85.74,6039.999,85.74,0
2013,17,Abu Dhabi Grand Prix,Yas Marina Circuit,03-11-2013,Adrian Sutil,Force India,17,10,Finished,01:42.1,99:99.999,99:99.999,Clear,29.4,0,0,0,,102.051,6039.999,6039.999,102.051,0
2013,18,United States Grand Prix,Circuit of the Americas,17-11-2013,Adrian Sutil,Force India,16,22,Accident,01:39.3,99:99.999,99:99.999,Partially cloudy,24.2,0,0,0,,99.25,6039.999,6039.999,99.25,0
2013,19,Brazilian Grand Prix,Autódromo José Carlos Pace,24-11-2013,Adrian Sutil,Force India,15,13,+1 Lap,01:26.9,01:28.6,99:99.999,"Rain, Overcast",19.4,9.1,0,0,,86.874,88.586,6039.999,86.874,0
2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,16-03-2014,Adrian Sutil,Sauber,13,11,+1 Lap,01:33.7,01:45.7,99:99.999,"Rain, Partially cloudy",15.1,0.543,0,0,0,93.673,105.655,6039.999,93.673,0
2014,2,Malaysian Grand Prix,Sepang International Circuit,30-03-2014,Adrian Sutil,Sauber,17,18,Electrical,02:02.1,99:99.999,99:99.999,"Rain, Partially cloudy",28.1,0.229,0,0,0,122.131,6039.999,6039.999,122.131,0
2014,3,Bahrain Grand Prix,Bahrain International Circuit,06-04-2014,Adrian Sutil,Sauber,22,22,Collision,01:36.8,99:99.999,99:99.999,Clear,23.1,0,0,0,0,96.84,6039.999,6039.999,96.84,0
2014,4,Chinese Grand Prix,Shanghai International Circuit,20-04-2014,Adrian Sutil,Sauber,14,22,Engine,01:58.1,01:57.4,99:99.999,"Rain, Partially cloudy",14.9,0.7,0,0,0,118.138,117.393,6039.999,117.393,0
2014,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,11-05-2014,Adrian Sutil,Sauber,16,17,+1 Lap,01:28.6,99:99.999,99:99.999,"Rain, Partially cloudy",19,0.1,0,0,0,88.563,6039.999,6039.999,88.563,0
2014,6,Monaco Grand Prix,Circuit de Monaco,25-05-2014,Adrian Sutil,Sauber,18,18,Accident,01:18.7,99:99.999,99:99.999,Partially cloudy,17.3,0,0,0,0,78.745,6039.999,6039.999,78.745,0
2014,7,Canadian Grand Prix,Circuit Gilles Villeneuve,08-06-2014,Adrian Sutil,Sauber,16,13,+1 Lap,01:17.5,01:17.3,99:99.999,Clear,22.2,0,0,0,0,77.519,77.314,6039.999,77.314,0
2014,8,Austrian Grand Prix,Red Bull Ring,22-06-2014,Adrian Sutil,Sauber,16,13,+1 Lap,01:10.8,99:99.999,99:99.999,Partially cloudy,17.9,0,0,0,0,70.825,6039.999,6039.999,70.825,0
2014,9,British Grand Prix,Silverstone Circuit,06-07-2014,Adrian Sutil,Sauber,13,13,+1 Lap,01:42.6,99:99.999,99:99.999,"Rain, Partially cloudy",15,0.57,0,0,0,102.603,6039.999,6039.999,102.603,0
2014,10,German Grand Prix,Hockenheimring,20-07-2014,Adrian Sutil,Sauber,15,19,Brakes,01:19.1,99:99.999,99:99.999,Partially cloudy,21.8,0,0,0,0,79.142,6039.999,6039.999,79.142,0
